subject,crossover_operator,inheritance_rate,hybrid
Rhino,One Point,0.886486,true
Rhino,Linked,0.891120,false
Rhino,Two Point,0.834462,false
Rhino,One Point,0.001505,true
Rhino,Linked,0.836719,true
Rhino,Two Point,0.240212,true
Rhino,One Point,0.796296,false
Rhino,Linked,0.797354,true
Rhino,Two Point,0.018281,true
Rhino,One Point,0.911067,false
Rhino,Linked,0.018281,true
Rhino,Two Point,0.817660,true
Rhino,One Point,0.889447,true
Rhino,Linked,0.851400,true
Rhino,Two Point,0.007534,true
Rhino,One Point,0.239076,true
Rhino,Linked,0.960321,true
Rhino,Two Point,0.864216,false
Rhino,One Point,0.191298,false
Rhino,Linked,0.227307,true
Rhino,Two Point,0.176662,true
Rhino,One Point,0.711864,true
Rhino,Linked,0.828553,true
Rhino,Two Point,0.007250,false
Rhino,One Point,0.006693,false
Rhino,Linked,0.938650,false
Rhino,Two Point,0.658940,true
Rhino,One Point,0.617550,false
Rhino,Linked,0.923289,true
Rhino,Two Point,0.051095,false
Rhino,One Point,0.051095,false
Rhino,Linked,0.051703,false
Rhino,Two Point,0.737618,true
Rhino,One Point,0.719340,true
Rhino,Linked,0.246462,true
Rhino,Two Point,0.759178,true
Rhino,One Point,0.018600,true
Rhino,Linked,0.917768,true
Rhino,Two Point,0.043525,true
Rhino,One Point,0.716282,true
Rhino,Linked,0.735089,true
Rhino,Two Point,0.731047,true
Rhino,One Point,0.729242,true
Rhino,Linked,0.020457,false
Rhino,Two Point,0.632598,true
Rhino,One Point,0.030197,true
Rhino,Linked,0.301974,true
Rhino,Two Point,0.701754,false
Rhino,One Point,0.753289,true
Rhino,Linked,0.809211,true
Rhino,Two Point,0.910891,false
Rhino,One Point,0.340594,true
Rhino,Linked,0.010891,false
Rhino,Two Point,0.016766,true
Rhino,One Point,0.235262,true
Rhino,Linked,0.016225,true
Rhino,Two Point,0.219012,true
Rhino,One Point,0.332246,true
Rhino,Linked,0.815005,true
Rhino,Two Point,0.433962,false
Rhino,One Point,0.855918,false
Rhino,Linked,0.914237,true
Rhino,Two Point,0.830418,false
Rhino,One Point,0.892015,false
Rhino,Linked,0.411787,true
Rhino,Two Point,0.326794,true
Rhino,One Point,0.333505,false
Rhino,Linked,0.333505,false
Rhino,Two Point,0.035389,false
Rhino,One Point,0.364510,false
Rhino,Linked,0.035389,false
Rhino,Two Point,0.015672,true
Rhino,One Point,0.015672,true
Rhino,Linked,0.015672,false
Rhino,Two Point,0.030120,false
Rhino,One Point,0.031538,false
Rhino,Linked,0.293763,true
Rhino,Two Point,0.044297,false
Rhino,One Point,0.044297,false
Rhino,Linked,0.201629,true
Rhino,Two Point,0.018909,true
Rhino,One Point,0.018909,true
Rhino,Linked,0.951918,false
Rhino,Two Point,0.739130,false
Rhino,One Point,0.036413,false
Rhino,Linked,0.909239,true
Rhino,Two Point,0.011176,false
Rhino,One Point,0.495306,false
Rhino,Linked,0.495753,false
Rhino,Two Point,0.627229,true
Rhino,One Point,0.271857,false
Rhino,Linked,0.026533,false
Rhino,Two Point,0.021228,true
Rhino,One Point,0.021228,true
Rhino,Linked,0.832949,false
Rhino,Two Point,0.153903,false
Rhino,One Point,0.865243,true
Rhino,Linked,0.885125,true
Rhino,Two Point,0.709896,false
Rhino,One Point,0.022127,false
Rhino,Linked,0.397050,false
Rhino,Two Point,0.144828,true
Rhino,One Point,0.141379,false
Rhino,Linked,0.918966,true
Rhino,Two Point,0.381342,false
Rhino,One Point,0.047463,false
Rhino,Linked,0.385161,false
Rhino,Two Point,0.002033,true
Rhino,One Point,0.765583,true
Rhino,Linked,0.781165,true
Rhino,Two Point,0.287551,false
Rhino,One Point,0.037405,false
Rhino,Linked,0.285213,false
Rhino,Two Point,0.544705,true
Rhino,One Point,0.024740,true
Rhino,Linked,0.973524,true
Rhino,Two Point,0.023918,true
Rhino,One Point,0.657175,true
Rhino,Linked,0.661162,true
Rhino,Two Point,0.649934,true
Rhino,One Point,0.844122,true
Rhino,Linked,0.887715,true
Rhino,Two Point,0.824638,true
Rhino,One Point,0.859711,true
Rhino,Linked,0.031565,false
Rhino,Two Point,0.629977,false
Rhino,One Point,0.693208,false
Rhino,Linked,0.983607,false
Rhino,Two Point,0.002845,true
Rhino,One Point,0.877667,false
Rhino,Linked,0.002134,false
Rhino,Two Point,0.825243,true
Rhino,One Point,0.815534,false
Rhino,Linked,0.254369,true
Rhino,Two Point,0.285272,false
Rhino,One Point,0.326404,false
Rhino,Linked,0.991597,false
Rhino,Two Point,0.017352,true
Rhino,One Point,0.231362,true
Rhino,Linked,0.246787,true
Rhino,Two Point,0.267117,true
Rhino,One Point,0.017358,false
Rhino,Linked,0.373674,true
Rhino,Two Point,0.211577,true
Rhino,One Point,0.166667,true
Rhino,Linked,0.082834,false
Rhino,Two Point,0.000797,false
Rhino,One Point,0.000000,false
Rhino,Linked,0.960159,true
Rhino,Two Point,0.362416,true
Rhino,One Point,0.168180,true
Rhino,Linked,0.501382,true
Rhino,Two Point,0.903988,true
Rhino,One Point,0.932053,false
Rhino,Linked,0.932053,false
Rhino,Two Point,0.353333,true
Rhino,One Point,0.209333,true
Rhino,Linked,0.236000,true
Rhino,Two Point,0.140168,false
Rhino,One Point,0.556216,true
Rhino,Linked,0.019812,true
Rhino,Two Point,0.292222,true
Rhino,One Point,0.015556,true
Rhino,Linked,0.015000,true
Rhino,Two Point,0.024444,true
Rhino,One Point,0.024889,true
Rhino,Linked,0.927556,false
Rhino,Two Point,0.744231,true
Rhino,One Point,0.808173,true
Rhino,Linked,0.819231,true
Rhino,Two Point,0.680197,false
Rhino,One Point,0.681427,false
Rhino,Linked,0.681427,false
Rhino,Two Point,0.009915,true
Rhino,One Point,0.009915,true
Rhino,Linked,0.632672,true
Rhino,Two Point,0.687607,true
Rhino,One Point,0.690463,true
Rhino,Linked,0.693889,true
Rhino,Two Point,0.043108,false
Rhino,One Point,0.224050,false
Rhino,Linked,0.415201,false
Rhino,Two Point,0.017094,true
Rhino,One Point,0.017094,true
Rhino,Linked,0.704374,true
Rhino,Two Point,0.018229,true
Rhino,One Point,0.018229,true
Rhino,Linked,0.911892,true
Rhino,Two Point,0.200085,true
Rhino,One Point,0.226109,true
Rhino,Linked,0.830631,true
Rhino,Two Point,0.008777,true
Rhino,One Point,0.008777,true
Rhino,Linked,0.848276,true
Rhino,Two Point,0.281018,true
Rhino,One Point,0.870626,true
Rhino,Linked,0.316013,true
Rhino,Two Point,0.013406,false
Rhino,One Point,0.285005,false
Rhino,Linked,0.012910,false
Rhino,Two Point,0.648236,true
Rhino,One Point,0.677788,false
Rhino,Linked,0.672069,false
Rhino,Two Point,0.984236,false
Rhino,One Point,0.085714,false
Rhino,Linked,0.975369,true
Rhino,Two Point,0.012962,true
Rhino,One Point,0.796500,true
Rhino,Linked,0.909916,false
Rhino,Two Point,0.396631,true
Rhino,One Point,0.415008,true
Rhino,Linked,0.260337,true
Rhino,Two Point,0.866703,true
Rhino,One Point,0.018102,false
Rhino,Linked,0.286341,true
Rhino,Two Point,0.000759,false
Rhino,One Point,0.000759,false
Rhino,Linked,0.911921,true
Rhino,Two Point,0.001372,true
Rhino,One Point,0.828532,false
Rhino,Linked,0.932099,false
Rhino,Two Point,0.721888,true
Rhino,One Point,0.320281,true
Rhino,Linked,0.543173,true
Rhino,Two Point,0.902959,true
Rhino,One Point,0.748521,true
Rhino,Linked,0.762722,true
Rhino,Two Point,0.631356,true
Rhino,One Point,0.610169,true
